id;coffee_name;coffee_type;coffee_size;coffee_price
1;SCSI;bypass;Keyboard Saint Kansa;Gorgeous h
2;Forks program;generating Hong SAS;Branding;Island opt
3;Balanced intermediate;Engineer lime Senior;interface partnershi;Profit-foc
4;seamless Card multi-byte;calculate paradigm;benchmark Unbranded;Organic in
5;program Wisconsin;hack;protocol Fantastic F;Assistant 
6;Salad Georgia;Plaza;JSON;throughput
7;seamless Investor Faso;indigo Path;methodologies sticky;Brand Acco
8;Industrial;Profound Orchestrato;array online Yuan;Shoes
9;Soft;Pass JBOD Credit;redefine;Principal
10;extranet;Functionality;reboot Music interfa;azure calc
